id,title,min_years,num_must_have,num_nice_to_have,must_have_skills,location
job_1,Associate Software Engineer,2,5,3,"Proficiency in at least one programming language (e.g., Java, Python, C++), Understanding of software development lifecycle, Knowledge of data structures and algorithms, Experience with version control systems (e.g., Git), Strong problem-solving skills",Hybrid
job_2,Software Engineer - Mid-Level,5,5,3,"Proficiency in programming languages such as Java, Python, or C++, Experience with software development methodologies like Agile or Scrum, Strong understanding of data structures and algorithms, Knowledge of relational and non-relational databases, Excellent problem-solving skills",Hybrid
job_3,Junior Software Engineer - Entry-Level,0,5,3,"Proficiency in at least one programming language (e.g., Java, Python, C++), Understanding of software development principles and best practices, Basic knowledge of data structures and algorithms, Ability to work well in a team environment, Strong problem-solving skills",Remote
job_4,Principal Software Engineer - Backend,7,8,5,"Proficiency in Java or Python, Experience with microservices architecture, Strong understanding of database design and optimization, Hands-on experience with cloud technologies (e.g., AWS, Azure), Solid knowledge of software development best practices, Excellent problem-solving and analytical skills, Ability to lead and mentor junior engineers, Strong communication and collaboration skills",Remote
job_5,Lead Software Engineer - Cloud Services,7,8,6,"Proficiency in cloud technologies (AWS, Azure, or GCP), Expertise in backend development with languages such as Java, Python, or Node.js, Strong understanding of microservices architecture and containerization (Docker, Kubernetes), Experience with relational and NoSQL databases (e.g., MySQL, MongoDB), Ability to lead projects from design to deployment, Excellent problem-solving and analytical skills, Effective communication and teamwork abilities, Bachelor's degree in Computer Science or related field",Hybrid
job_6,Junior Full Stack Developer - Entry-Level,0,5,3,"HTML5, CSS3, JavaScript, Node.js, React.js",Remote
job_7,Lead Full Stack Developer,8,8,4,"JavaScript, Node.js, React, MongoDB, RESTful APIs, Git, Agile methodology, CI/CD",Hybrid
job_8,Junior Full Stack Developer,1,8,5,"JavaScript, HTML/CSS, React, Node.js, RESTful APIs, Git, SQL, Problem-solving skills",Remote
job_9,Senior Full Stack Developer - Mid-Level,3,8,5,"JavaScript, Node.js, React, MongoDB, RESTful APIs, HTML/CSS, Git, Agile methodology",Remote
job_10,Junior Backend Developer - Python,2,6,5,"Python, RESTful APIs, SQL databases, Git, Basic understanding of frontend technologies (HTML, CSS, JavaScript), Problem-solving skills",Remote
